Warsaw;639 000 zł;12 057 zł/m²;Powierzchnia53 m²;Forma własnościzapytaj;Liczba pokoi2 ;Stan wykończeniado zamieszkania;Piętro2/3;Balkon / ogród / tarasbalkon;Czynsz880 zł;Miejsce parkingowezapytaj;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
Warsaw;685 000 zł;15 055 zł/m²;Powierzchnia45,5 m²;Forma własnościpełna własność;Liczba pokoi2 ;Stan wykończeniado zamieszkania;Piętro1/10;Balkon / ogród / tarasbalkon;Czynsz600 zł;Miejsce parkingowezapytaj;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
Warsaw;649 000 zł;12 676 zł/m²;Powierzchnia51,2 m²;Forma własnościpełna własność;Liczba pokoi2 ;Stan wykończeniado zamieszkania;Piętro2/4;Balkon / ogród / taraszapytaj;Czynsz540 zł;Miejsce parkingowezapytaj;Obsługa zdalnazapytaj;Ogrzewaniezapytaj
Warsaw;790 000 zł;17 100 zł/m²;Powierzchnia46,2 m²;Forma własnościpełna własność;Liczba pokoi3 ;Stan wykończeniado zamieszkania;Piętro6/10;Balkon / ogród / tarasbalkon;Czynsz500 zł;Miejsce parkingowezapytaj;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
Warsaw;790 000 zł;12 540 zł/m²;Powierzchnia63 m²;Forma własnościzapytaj;Liczba pokoi3 ;Stan wykończeniazapytaj;Piętro4/16;Balkon / ogród / taraszapytaj;Czynszzapytaj;Miejsce parkingowezapytaj;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
Warsaw;756 000 zł;13 500 zł/m²;Powierzchnia56 m²;Forma własnościpełna własność;Liczba pokoi3 ;Stan wykończeniado remontu;Piętro3/6;Balkon / ogród / taraszapytaj;Czynsz800 zł;Miejsce parkingowezapytaj;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
Warsaw;1 219 000 zł;20 429 zł/m²;Powierzchnia59,67 m²;Forma własnościpełna własność;Liczba pokoi3 ;Stan wykończeniado zamieszkania;Piętro2/6;Balkon / ogród / tarasbalkon;Czynszzapytaj;Miejsce parkingowegaraż/miejsce parkingowe;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
Warsaw;280 000 zł;16 471 zł/m²;Powierzchnia17 m²;Forma własnościpełna własność;Liczba pokoi1 ;Stan wykończeniado wykończenia;Piętro3/4;Balkon / ogród / tarasbalkon;Czynsz170 zł;Miejsce parkingowegaraż/miejsce parkingowe;Obsługa zdalnatak;Ogrzewaniemiejskie
Warsaw;675 000 zł;10 385 zł/m²;Powierzchnia65 m²;Forma własnościpełna własność;Liczba pokoi2 ;Stan wykończeniado zamieszkania;Piętro3/3;Balkon / ogród / tarasbalkon;Czynsz650 zł;Miejsce parkingowegaraż/miejsce parkingowe;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
Warsaw;625 000 zł;18 601 zł/m²;Powierzchnia33,6 m²;Forma własnościspółdzielcze własnościowe;Liczba pokoi2 ;Stan wykończeniazapytaj;Piętro7/15;Balkon / ogród / taraszapytaj;Czynsz450 zł;Miejsce parkingowezapytaj;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
Warsaw;608 300 zł;11 060 zł/m²;Powierzchnia55 m²;Forma własnościpełna własność;Liczba pokoi3 ;Stan wykończeniado remontu;Piętro4/10;Balkon / ogród / tarasbalkon;Czynszzapytaj;Miejsce parkingowezapytaj;Obsługa zdalnatak;Ogrzewaniemiejskie
Warsaw;675 000 zł;12 981 zł/m²;Powierzchnia52 m²;Forma własnościpełna własność;Liczba pokoi2 ;Stan wykończeniado wykończenia;Piętro1/6;Balkon / ogród / tarasbalkon, taras;Czynsz300 zł;Miejsce parkingowegaraż/miejsce parkingowe;Ogrzewaniemiejskie
Warsaw;843 000 zł;12 095 zł/m²;Powierzchnia69,7 m²;Forma własnościpełna własność;Liczba pokoi3 ;Stan wykończeniado zamieszkania;Piętro3/4;Balkon / ogród / tarasbalkon;Czynsz900 zł;Miejsce parkingowegaraż/miejsce parkingowe;Obsługa zdalnazapytaj;Ogrzewanieinne
Warsaw;450 000 zł;18 000 zł/m²;Powierzchnia25 m²;Forma własnościpełna własność;Liczba pokoi1 ;Stan wykończeniado zamieszkania;Piętroparter/4;Balkon / ogród / tarasbalkon;Czynsz390 zł;Miejsce parkingowezapytaj;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
Warsaw;1 790 000 zł;14 206 zł/m²;Powierzchnia126 m²;Forma własnościpełna własność;Liczba pokoi5 ;Stan wykończeniado zamieszkania;Piętro6/7;Balkon / ogród / tarasbalkon, taras;Czynsz1 100 zł;Miejsce parkingowegaraż/miejsce parkingowe;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
Warsaw;1 499 999 zł;10 490 zł/m²;Powierzchnia143 m²;Forma własnościpełna własność;Liczba pokoi5 ;Stan wykończeniado zamieszkania;Piętro1/2;Balkon / ogród / tarasbalkon;Czynszzapytaj;Miejsce parkingowezapytaj;Obsługa zdalnatak;Ogrzewaniegazowe
Warsaw;869 000 zł;12 452 zł/m²;Powierzchnia69,79 m²;Forma własnościpełna własność;Liczba pokoi3 ;Stan wykończeniado zamieszkania;Piętro1/5;Balkon / ogród / tarasbalkon;Czynsz600 zł;Miejsce parkingowegaraż/miejsce parkingowe;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
Warsaw;378 997 zł;16 128 zł/m²;Powierzchnia23,5 m²;Forma własnościspółdzielcze własnościowe;Liczba pokoi1 ;Stan wykończeniado zamieszkania;Piętro3/4;Balkon / ogród / taraszapytaj;Czynsz395 zł;Miejsce parkingowezapytaj;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
Warsaw;1 190 000 zł;15 824 zł/m²;Powierzchnia75,2 m²;Forma własnościpełna własność;Liczba pokoi3 ;Stan wykończeniado zamieszkania;Piętro4/5;Balkon / ogród / taraszapytaj;Czynsz780 zł;Miejsce parkingowegaraż/miejsce parkingowe;Ogrzewaniemiejskie
Warsaw;536 063 zł;15 307 zł/m²;Powierzchnia35,02 m²;Forma własnościpełna własność;Liczba pokoi2 ;Stan wykończeniado wykończenia;Piętro4/4;Balkon / ogród / tarasbalkon;Czynszzapytaj;Miejsce parkingowegaraż/miejsce parkingowe;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
Warsaw;840 000 zł;12 024 zł/m²;Powierzchnia69,86 m²;Forma własnościpełna własność;Liczba pokoi4 ;Stan wykończeniado wykończenia;Piętro4/7;Balkon / ogród / tarasbalkon;Czynszzapytaj;Miejsce parkingowegaraż/miejsce parkingowe;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
Warsaw;410 000 zł;11 884 zł/m²;Powierzchnia34,5 m²;Forma własnościspółdzielcze własnościowe;Liczba pokoi1 ;Stan wykończeniado zamieszkania;Piętroparter/2;Balkon / ogród / taraszapytaj;Czynszzapytaj;Miejsce parkingowezapytaj;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
Warsaw;678 800 zł;20 000 zł/m²;Powierzchnia33,94 m²;Forma własnościpełna własność;Liczba pokoi1 ;Stan wykończeniado zamieszkania;Piętro5/12;Balkon / ogród / tarasbalkon;Czynsz380 zł;Miejsce parkingowezapytaj;Obsługa zdalnatak;Ogrzewaniemiejskie
Warsaw;1 299 000 zł;14 948 zł/m²;Powierzchnia86,9 m²;Forma własnościpełna własność;Liczba pokoi3 ;Stan wykończeniado zamieszkania;Piętro7/7;Balkon / ogród / tarasbalkon;Czynsz1 000 zł;Miejsce parkingowegaraż/miejsce parkingowe;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
Warsaw;1 190 000 zł;14 337 zł/m²;Powierzchnia83 m²;Forma własnościpełna własność;Liczba pokoi3 ;Stan wykończeniazapytaj;Piętro2/4;Balkon / ogród / tarasbalkon;Czynszzapytaj;Miejsce parkingowegaraż/miejsce parkingowe;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
Warsaw;903 639 zł;19 700 zł/m²;Powierzchnia45,87 m²;Forma własnościpełna własność;Liczba pokoi2 ;Stan wykończeniado wykończenia;Piętro> 10/23;Balkon / ogród / tarasbalkon;Czynszzapytaj;Miejsce parkingowegaraż/miejsce parkingowe;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
Warsaw;1 860 000 zł;20 899 zł/m²;Powierzchnia89 m²;Forma własnościpełna własność;Liczba pokoi3 ;Stan wykończeniado zamieszkania;Piętro2/6;Balkon / ogród / tarasbalkon, taras;Czynsz1 000 zł;Miejsce parkingowezapytaj;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
Warsaw;965 000 zł;13 584 zł/m²;Powierzchnia71,04 m²;Forma własnościpełna własność;Liczba pokoi3 ;Stan wykończeniado wykończenia;Piętro5/8;Balkon / ogród / taraszapytaj;Czynszzapytaj;Miejsce parkingowegaraż/miejsce parkingowe;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
Warsaw;689 000 zł;13 579 zł/m²;Powierzchnia50,74 m²;Forma własnościpełna własność;Liczba pokoi2 ;Stan wykończeniado zamieszkania;Piętroparter/5;Balkon / ogród / tarasogródek, taras;Czynsz580 zł;Miejsce parkingowegaraż/miejsce parkingowe;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
Warsaw;735 000 zł;17 347 zł/m²;Powierzchnia42,37 m²;Forma własnościpełna własność;Liczba pokoi2 ;Stan wykończeniado zamieszkania;Piętro1/6;Balkon / ogród / tarasbalkon;Czynsz600 zł;Miejsce parkingowezapytaj;Ogrzewaniemiejskie
Warsaw;429 000 zł;11 595 zł/m²;Powierzchnia37 m²;Forma własnościzapytaj;Liczba pokoi1 ;Stan wykończeniado zamieszkania;Piętro1/3;Balkon / ogród / tarasbalkon;Czynsz350 zł;Miejsce parkingowezapytaj;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
Warsaw;489 000 zł;13 583 zł/m²;Powierzchnia36 m²;Forma własnościpełna własność;Liczba pokoi2 ;Stan wykończeniado zamieszkania;Piętro3/4;Balkon / ogród / taraszapytaj;Czynszzapytaj;Miejsce parkingowezapytaj;Obsługa zdalnazapytaj;Ogrzewaniemiejskie
